smiles,measured log solubility in mols per litre
ClC1:C:C:C(I):C:C:1,-4.03
COC1:C:C:C(NC(=O)N(C)C):C:C:1Cl,-2.564
CC(C)N(C(=O)CCl)C1:C:C:C:C:C:1,-2.48
C=CC1:C:C:C:C:C:1,-2.82
COCOC,0.48
CC1:C:C:C:C:C:1C,-2.8
CCC(C)O,0.47
OC1:C:C:C(O):C:C:1,-0.17
CC12CCC3C4:C:C:C(O):C:C:4CCC3C1CC(O)C2O,-4.955
C1:C:C:C2:C(:C:1)CC1:C:C3:C:C:C:C:C:3:C:C:12,-8.04
O=C1CNC(=O)N1,-0.4
CCCCCCC1:C:C:C(O):C:C:1O,-2.59
C=CCSS(=O)CC=C,-0.83
CCOP(=S)(OCC)OC1:C:C:C2:O:C(=O):C(Cl):C(C):C:2:C:1,-5.382
CC1:C(C):C2:C3:C:C:C:C:C:3:C:C:C:2:C2:C:C:C:C:C:1:2,-7.01
CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.71
O=C1:[NH]:C(=O):C2:[NH]:C(=O):[NH]:C:2:[NH]:1,-3.93
OC1:C(Cl):C:C(Cl):C(Cl):C:1Cl,-3.1
ClC1:C:C:C:C(Cl):C:1,-3.04
ClC1:C:C:C(C(C2:C:C:C(Cl):C:C:2)C(Cl)(Cl)Cl):C:C:1,-7.15
CC(C)COC=O,-1.01
CSC1:C:C:C:C:C:1,-2.39
CCN1C2:N:C:C:C:C:2C(=O)NC2:C(C(F)(F)F):C:C(C):N:C:21,-4.207
CCCCCC,-3.84
COC(=O)C1:C:C:C:N:C:1,-0.46
NS(=O)(=O)C1:C:C2:C(:C:C:1C(F)(F)F)NC(CC1:C:C:C:C:C:1)NS2(=O)=O,-3.59
ClC1:C:C:C(C2:C:C(Cl):C(Cl):C(Cl):C:2Cl):C:C:1Cl,-7.82
C=CC1(C)OC(=O)N(C2:C:C(Cl):C:C(Cl):C:2)C1=O,-4.925
CCNC1:N:C(Cl):N:C(NC(C)(C)C#N):N:1,-3.15
C1:C:C:C2:C(:C:1):C1:C:C:C:C:C:1:C1:C:C:C:C:C:2:1,-6.726
CC=C(C(=CC)C1:C:C:C(O):C:C:1)C1:C:C:C(O):C:C:1,-4.95
CCCCC(CC)COC(=O)C1:C:C:C:C:C:1C(=O)OCC(CC)CCCC,-6.96
CCC1:C:C:C:C:N:1,0.51
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-2.28
C1:C:C:C(C2:C:C:C:C:C:2):C:C:1,-4.345
ClC1:C:C(Cl):C(C2:C(Cl):C:C(Cl):C:C:2Cl):C(Cl):C:1,-8.71
CN(C)C1:N:C(N(C)C):N:C(N(C)C):N:1,-3.364
CC(C)CC(C)(C)O,-0.92
O=C1NC(=O)C2(CCCCCC2)C(=O)N1,-3.168
OCC1OC(O)(CO)C(O)C1O,0.64
CC1:C:C(C):C:C(O):C:1,-1.4
O=C(NC1:C:C:C:C(Cl):C:1)OCC#CCCl,-4.37
CC(=O)NC1:C:C:C(Cl):C:C:1,-2.843
ClC1:C:C:C(Cl):C(C2:C(Cl):C(Cl):C(Cl):C(Cl):C:2Cl):C:1,-8.94
CCC(C)(C)C,-3.55
CNC1:C:C:C:C:C:1,-1.28
C=CCC=C,-2.09
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-4.88
CC1:C:C([N+](=O)[O-]):C:C([N+](=O)[O-]):C:1O,-1.456
O=C1NC2:C:C:C(Cl):C:C:2C(C2:C:C:C:C:C:2Cl)=NC1O,-3.604
OC1:C:C:C:C(Cl):C:1,-0.7
ClC1:C:C:C:C(Br):C:1,-3.21
NS(=O)(=O)C1:C:C2:C(:C:C:1Cl)N=CNS2(=O)=O,-3.05
CCC1(C)C(=O)NC(=O)NC1=O,-1.228
OCCOC1:C:C:C:C:C:1,-0.7
C1:C:C:C(CC2:C:C:C:C:C:2):C:C:1,-4.08
CCCCCC(O)CC,-1.98
CCN(CC1:C(F):C:C:C:C:1Cl)C1:C([N+](=O)[O-]):C:C(C(F)(F)F):C:C:1[N+](=O)[O-],-6.78
CC(C)NC1:N:C(Cl):N:C(NC(C)C):N:1,-4.43
CCCC(C)CO,-1.11
CCCCC(C)(C)O,-1.08
CCC1:C:C:C:C:C:1,-2.77
CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2.253
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,-6.317
C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.647
CC1(C)C(C(=O)OC(C#N)C2:C:C:C:C(OC3:C:C:C:C:C:3):C:2)C1(C)C,-6.025
COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,-5.19
CCOC(=O)CC,-0.66
CSC1:N:C(NC(C)C):N:C(NC(C)C):N:1,-4.1
C#CC(C)N(C)C(=O)NC1:C:C:C(Cl):C:C:1,-3.9
CC1:C:C2:C:C:C:C:C:2:C:C:1C,-4.72
ClC1:C:C:C(C2:C:C(Cl):C:C:C:2Cl):C:C:1,-6.25
ClC1:C:C:C(C2:C:C(Cl):C(Cl):C(Cl):C:2Cl):C(Cl):C:1,-7.39
N#CN=C(N)N,-0.31
O=[N+]([O-])C(Cl)(Cl)Cl,-2
ClC1:C:C:C:C(Cl):C:1C1:C:C:C:C:C:1,-5.21
COC1:C:C:C(C=O):C:C:1,-1.49
CC(=O)NC1:C:C:C([N+](=O)[O-]):C:C:1,-2.692
CCCCCCC(=O)OCC,-2.74
CC(=O)NC1:C:C:C(O):C:C:1,-1.03
C1:C:C:C2:[NH]:N:C:C:2:C:1,-2.16
CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,-4.31
NC1:N:C2:[NH]:C:N:C:2:C(=O):[NH]:1,-3.583
COC(C)=O,0.46
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,-4.743
C=CC(O)CCC,-0.59
O=C1NC(=O)C2C3C(C(O)(C4:C:C:C:C:C:4)C4:C:C:C:C:N:4)=CC(C3=C(C3:C:C:C:C:C:3)C3:C:C:C:C:N:3)C12,-3.931
CCCCOCCCC,-1.85
CCCCCCCCCCCCO,-4.8
CCN1C2:N:C(N(C)CCO):C:C:C:2NC(=O)C2:C:C:C:N:C:21,-3.36
CCCC(C)(C)O,-0.49
NC1:N:C(=O):[NH]:C:C:1F,-0.972
CCCCOC1:C:C:C(C(=O)OCC):C(N(CC)CC):C:1,-3.84
CCCCCC(C)(C)O,-1.72
CC1:C(C):C(C):C(C):C(C):C:1C,-5.23
CC1:C:C:C(C(C)C):C(O):C:1,-2.22
C1:C:N:C2:N:C:N:C:C:2:N:1,0.02
CCOP(=S)(OCC)OC1:C:C:C([N+](=O)[O-]):C:C:1,-4.66
C,-0.9
C1:C:C:C2:C(:C:1)CCN2,-1.04
O=[N+]([O-])C1:C:C:C:C2:C:C:C:C:C:1:2,-3.54
CCC(C)C(C)=O,-0.67
NC1:N:C(O):N:C2:N:C:[NH]:C:1:2,-3.401
O=C1:O:C2:C:C:C:C:C:2:C(O):C:1C(CC(O)C1:C:C:C(C2:C:C:C(Br):C:C:2):C:C:1)C1:C:C:C:C:C:1,-4.445
C[N+](=O)[O-],0.26
CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,-4.88
C=CCCC=C,-2.68
C1:C:C:C2:[NH]:C:C:C:2:C:1,-1.52
CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,-3.69
C=CCCCC,-3.23
CC1:C:C:C:C(C):C:1NC(=O)C1:C:C(S(N)(=O)=O):C(Cl):C:C:1O,-3.79
CCC1CCCCC1,-4.25
CCCCCCCC(C)=O,-2.58
COC(=O)NC1:N:C2:C:C:C(C(=O)C3:C:C:C:C:C:3):C:C:2:[NH]:1,-3.88
CC(C)OC(=O)NC1:C:C:C:C(Cl):C:1,-3.38
CCN1C2:N:C:C:C:C:2C(=O)N(C)C2:C:C:C(Cl):N:C:21,-4.114
CNC(=O)OC1:C:C:C:C2:C:C:C:C:C:1:2,-3.224
C#C,0.29
CC1:C:N:C:C(C):C:1,0.38
C1=CCC=CC1,-2.06
CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,-2.518
CC(O)C1:C:C:C:C:C:1,-0.92
CC(Cl)CCl,-1.6
CCCC=C(C=O)CC,-2.46
CCOP(=S)(OCC)SCCSCC,-4.23
CC(=O)OC1(C)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.284
ClC1:C:C:C(C2:C(Cl):C:C:C:C:2Cl):C:C:1,-6.14
O=C(NC(=O)C1:C(F):C:C:C:C:1F)NC1:C:C:C(Cl):C:C:1,-6.02
OC1:C:C(Cl):C:C:C:1OC1:C:C:C(Cl):C:C:1Cl,-4.46
CC(C)CCCCCOC(=O)C1:C:C:C:C:C:1C(=O)OCCCCCC(C)C,-6.637
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,-3.24
CC1:C:C(C):C:C(C):C:1,-3.4
CCCCCCCCOC(=O)C1:C:C:C:C:C:1C(=O)OCCCCCCCC,-5.115
CCCCCCCCCCCCCCCO,-6.35
ClC1:C:C:C:C(Cl):C:1C1:C(Cl):C:C:C:C:1Cl,-7.39
CC1(C)C(=O)NC(=O)NC1=O,-1.742
CC(C)I,-2.09
O=[N+]([O-])C1:C:C:C:C:C:1[N+](=O)[O-],-3.1
CC(=O)C(C)C,-0.12
CCCCCCCCCCCCCCCC,-8.4
CC12CCC(CC1)C(C)(C)O2,-1.74
CC1:C:C:C:C2:S:C3:N:N:C:N:3:C:1:2,-2.07
CCCCCCC(C)=O,-2.05
CCCCCCCCC(=O)OC,-3.38
FC1:C:C:C(F):C:C:1,-1.97
O=C1CCC(N2C(=O)C3:C:C:C:C:C:3C2=O)C(=O)N1,-2.676
CCCN(CCC)C1:C([N+](=O)[O-]):C:C(C(F)(F)F):C:C:1[N+](=O)[O-],-5.68
CCO,1.1
O=C1NC(=O)C2(CCCC2)C(=O)N1,-2.349
CCNC(=O)C(C)OC(=O)NC1:C:C:C:C:C:1,-1.83
CC(C)=CC1C(C(=O)OCC2:C:C:C:C(OC3:C:C:C:C:C:3):C:2)C1(C)C,-5.24
CN(C)C(=O)NC1CCCCCCC1,-2.218
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-6.8
CCCCCCCCBr,-5.06
CCCCNC(=O)N1:C(NC(=O)OC):N:C2:C:C:C:C:C:2:1,-4.883
CC1:C(N(C)C):C(=O):N(C2:C:C:C:C:C:2):N:1C,-0.364
CCC(O)CC,-0.24
CC1:C:C:C([N+](=O)[O-]):C:C:1,-2.49
CC(C)CCCO,-1.14
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(O)C3CCC21C,-4.57
CC(C)OC(=O)C(O)(C1:C:C:C(Br):C:C:1)C1:C:C:C(Br):C:C:1,-4.93
NC1:C:N:N(C2:C:C:C:C:C:2):C(=O):C:1Cl,-2.878
CCC(C)(C)O,0.15
CC1:C:C:C(O):C:C:1,-0.73
CCOC=O,0.15
CN(C)C1:C:C:C:C:C:1,-1.92
C1CCC2CCCCC2C1,-5.19
CCCCS,-2.18
C1:C:C:C2:C(:C:1):C1:C:C:C:C3:C:C:C4:C:C:C:C:2:C:4:C:3:1,-7.8
ClC(Cl)=C(Cl)Cl,-2.54
CCC(=O)CC,-0.28
C=CC#N,0.15
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-5.613
CCCCC(C)=O,-0.8
CCNC1:N:C(NC(C)(C)C):N:C(OC):N:1,-3.239
CCCCC(C)CC,-5.16
BrCCBr,-1.68
CNC(=O)OC1:C:C:C:C:C:1C(C)C,-2.863
O=C1NCCN1C1:N:C:C([N+](=O)[O-]):S:1,-3.22
C1:C:C:C2:C(:C:1)CC1:C2:C:C:C2:C:C:C:C:C:1:2,-6.68
COC1:C:C:C:C:C:1Cl,-2.46
COP(=S)(OC)OC1:C:C(Cl):C(Br):C:C:1Cl,-6.09
O=C(CC(Cl)Cl)NC1=C(Cl)C(=O)C2:C:C:C:C:C:2C1=O,-5.03
ClC1:C:C:C(C(C2:C:C:C(Cl):C:C:2)C(Cl)Cl):C:C:1,-7.2
C=CC(=O)OC,-0.22
CN(C)C(=O)NC1:C:C:C(OC2:C:C:C(Cl):C:C:2):C:C:1,-4.89
C1:C:C:C(N=NC2:C:C:C:C:C:2):C:C:1,-4.45
CC1:C:C:C(C(C)C):C:C:1,-3.77
OC1:C(Cl):C:C:C:C:1Cl,-1.79
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,0.79
OC1C(O)C(O)C(O)C(O)C1O,0.35
CN1:C(=O):C2:C(:N:C:N:2CC(O)CO):N(C):C:1=O,-0.17
O=C(NC(CO)C(O)C1:C:C:C([N+](=O)[O-]):C:C:1)C(Cl)Cl,-2.111
CCC(O)(CC)CC,-0.85
CC12CCC3C(CCC4CC5SC5CC43C)C1CCC2O,-5.41
BrC1:C:C:C:C:C:1Br,-3.5
OC1:C(Cl):C:C(Cl):C:C:1Cl,-2.34
CCCN(CCC)C1:C([N+](=O)[O-]):C:C(S(N)(=O)=O):C:C:1[N+](=O)[O-],-5.16
O=C1C2:C:C:C:C:C:2CC2:C:C:C:C:C:2N1CCF,-4.799
CC(C)C(=O)C(C)C,-1.3
CC(C)=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.593
COC1=CC2OC3C=CC(O)=CC3C(=O)C2C(O)=C1,-2.943
CN1:C(=O):C2:C(:N:C:N:2C):N(C):C:1=O,-0.876
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,-4.173
CC1:C:C:C(O):C:C:1C,-1.38
C1:C:C:C(OC2:C:C:C:C:C:2):C:C:1,-3.96
ClC1:C:C(Cl):C(C2:C:C(Cl):C(Cl):C:C:2Cl):C:C:1Cl,-8.56
NC(=O)C1:C:C:C:N:C:1,0.61
SC1:C:C:C:C:C:1,-2.12
CNC(=O)OC1:C:C(C):C:C(C):C:1,-2.581
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,-6.86
CSSC,-1.44
NC(=O)C1:C:C:C:C:C:1,-0.96
ClC1:C:C:C:C:C:1Br,-3.19
COC(=O)C1:C:C:C:C:C:1OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O,-0.742
CCCCC(O)CC,-1.47
CCN1C2:N:C:C:C:C:2C(=O)NC2:C(C):C:C(C):N:C:21,-4.554
OC1:C:C(Cl):C:C(Cl):C:1,-1.34
CC1:C:C:C:C2:C:1:C:C:C1:C:C:C:C:C:1:2,-5.85
CCCCC(CC)CO,-2.11
CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,-4.286
CC1:C:C:C:C:C:1,-2.21
ClC1:C:C:C:C(C(Cl)(Cl)Cl):N:1,-3.76
C1=CCCCCC1,-3.18
CN(C)C(=S)SSC(=S)N(C)C,-3.9
COC1=CC(=O)CC(C)C12OC1:C(Cl):C(OC):C:C(OC):C:1C2=O,-3.246
CCCCCCCCCCO,-3.63
CCC(C)(C)CC,-4.23
CNC(=O)C(C)SCCSP(=O)(OC)OC,1.144
OC1:C:C(Cl):C(Cl):C(Cl):C:1Cl,-3.15
CCCC=O,-0.01
CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.9
CCCC,-2.57
COC1:C:C:C:C:C:1O,-1.96
CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.099
ClC(Cl)C(Cl)(Cl)Cl,-2.6
CCOC(=O)C1:C:C:C:C:C:1C(=O)OCC,-2.35
CC(C)CO,0.1
CC(C)CC1:C:C:C:C:C:1,-4.12
ICI,-2.34
CCCC(O)CCC,-1.4
CCCCCOC(C)=O,-1.89
OC1:C(Cl):C(Cl):C:C(Cl):C:1Cl,-3.37
CCCC1:C:C:C:C:C:1,-3.37
FC(F)(Cl)C(F)(F)Cl,-2.74
CC=CC=O,0.32
CN(C)C(=O)N(C)C,0.94
CC1:C:C(C):C(C):C:C:1C,-4.59
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.8
CCOP(=S)(OCC)N1C(=O)C2:C:C:C:C:C:2C1=O,-3.35
O=C(NC1:C:C:C:C:C:1)C1:C:C:C:C:C:1O,-3.59
C=C(Cl)CSC(=S)N(CC)CC,-3.39
CCCl,-1.06
CC(=O)NC1:C:C(NS(=O)(=O)C(F)(F)F):C(C):C:C:1C,-3.24
O=C(C=CC=CC1:C:C:C2:C(:C:1)OCO2)N1CCCCC1,-3.46
C/C=C\CC,-2.54
CNC(=O)ON=C(CSC)C(C)(C)C,-1.62
O=C1NC(=O)C2(CCCCCCC2)C(=O)N1,-2.982
CNC(=O)OC1:C:C(C(C)(C)C):C:C(C(C)(C)C):C:1,-4.24
O=C1CC(C2:C:C:C(O):C(O):C:2)OC2:C:C(O):C:C(O):C:21,-3.62
O=C(C1:C:C:C:C:C:1)C1:C:C:C:C:C:1,-3.12
CCCCCCCCCCCCCCCCCCCC,-8.172
C1:C:C:C(NNC2:C:C:C:C:C:2):C:C:1,-2.92
CCC(CC)CO,-1.17
OC1:C:C:N:C:C:1,1.02
Cl/C=C\Cl,-1.3
CC1CCCC1,-3.3
CC(C)CC(C)O,-0.8
CC1:C:C:C2:C(:C:1)C(=O)N(C)C1:C:C(N):C:C:C:1O2,-3.928
CC(C)(C)CO,-0.4
CC(C)(C)C(=O)C(OC1:C:C:C(Cl):C:C:1)N1:C:N:C:N:1,-3.61
CC1:C:C(C(=O)NNCC2:C:C:C:C:C:2):N:O:1,-2.461
C=CC,-1.08
OC1:C:C:C(Cl):C:C:1CC1:C:C(Cl):C:C:C:1O,-3.953
CCOC(=O)NC1:C:C:C:C(OC(=O)NC2:C:C:C:C:C:2):C:1,-4.632
O=C1C2:C:C:C:C:C:2C(=O)C2:C:C:C:C:C:21,-5.19
CCCCCCC(C)O,-2.09
CC1=C(C(=O)NC2:C:C:C:C:C:2)S(=O)(=O)CCO1,-2.281
CCCCC1:C:C:C:C:C:1,-4.06
O=C1NC(=O)C(=O)N1,-0.4
COP(=S)(OC)OC1:C:C:C(SC2:C:C:C(OP(=S)(OC)OC):C:C:2):C:C:1,-6.237
NS(=O)(=O)C1:C:C(C2(O)NC(=O)C3:C:C:C:C:C:32):C:C:C:1Cl,-3.451
CC(=O)OCC(C)C,-1.21
CC(C)C(C)(C)C,-4.36
ClC1:C:C:C(C2:C(Cl):C:C(Cl):C(Cl):C:2Cl):C(Cl):C:1Cl,-7.66
N#CC1:C:C:C:C:C:1C#N,-2.38
CC1:C:C:C:C([N+](=O)[O-]):C:1,-2.44
FC(F)(F)C(Cl)Br,-1.71
CNC(=O)ON=C(SC)C(=O)N(C)C,0.106
CCSCCSP(=S)(OC)OC,-3.091
CCC(C)C,-3.18
COP(=O)(OC)OC(=CCl)C1:C:C(Cl):C(Cl):C:C:1Cl,-4.522
